Grant ID,MRFF Initiative,Grant Opportunity,Organisation,Organisation Type,"State 
or Territory ",Project Name,Project Summary,"Chief Investigator 
A/Project Lead",Chief Investigator Team,Type of Grant,Contract Start Date,Contract End Date,"Field(s) of Research
(DIVISION / Group / Field)",Broad Research Area, Total Grant Value ,Date Uploaded^
MRF2016195,Indigenous Health Research Fund,2021 Indigenous Health Research,University of Technology Sydney,University,NSW,"Our Wisdom, Our Ways supporting Aboriginal Women carers using a strengths based approach to the development of carer and clinician resources that support the carer to continue to care","First Nations women and Elders overwhelmingly bear the burden of care to their children, grandchildren, families and others. COVID-19 has placed significant stressor on First Nation women carers and those requiring care. Through lived experience this project seeks to develop, distribute and evaluate in partnership first time resources for carers and clinical teams supporting the mental health and wellbeing for First Nations women carers and Elders on Wiradjuri Country - Our Wisdom, Our Ways.",Associate Professor Faye McMillan,"Associate Professor Faye McMillan, Miss Patricia Morris, Anna Gannon, Jane Havelka, Miss Ella Havelka, Mrs Lorraine Tye, Jasmine Williams",Targeted competitive,1/6/2022,30/11/2026,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health",Public Health Research,479465,Prior to 03/09/2024
MRF2017297,Primary Health Care Research,2021 Primary Health Care Research,Curtin University,University,WA,CP Movetime,"Children with cerebral palsy often spend more than 96% of their day seated or lying down. Not moving can lead to poor health outcomes. In partnership with children with cerebral palsy, their families, and health care workers we will develop and test wearable sensors. This sensor will monitor the movement of children with cerebral palsy who are unable to walk. By using technology and working together in the community we will improve the health of children with cerebral palsy.",Doctor Dayna Pool,"Doctor Dayna Pool, Professor Catherine Elliott, Doctor Sarah Reedman, Professor Rachael Moorin, Associate Professor Ben Jackson, Doctor Siobhan Reid, Associate Professor Amity Campbell, Professor Leon Straker, Professor Stewart Trost, Professor Christine Imms, Professor Jane Valentine, Ewan Cameron, Doctor Ashleigh Thornton, Associate Professor Mark Peterson, Associate Professor Olaf Verschuren",Targeted competitive,1/6/2022,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Care for disabled;
MEDICAL AND HEALTH SCIENCES, Public health and health services, Primary health care;
MEDICAL AND HEALTH SCIENCES, Paediatrics and reproductive medicine, Paediatrics",Health Services Research,1538149.96,Prior to 03/09/2024
MRF2016058,Primary Health Care Research,2021 Primary Health Care Research,Bond University Limited,University,QLD,Wearables Integrated Technology to support healthy behaviours in people with Type 2 Diabetes (Wear-IT),"Exercise and dietary behaviours are vital to controlling type 2 diabetes and preventing complications from this disease. This study will combine information from wearable technologies, including physical activity trackers, with health information from the patient's medical record to help people with type-2 diabetes to set goals and monitor progress on physical activity, blood sugar and blood pressure control. Participants will be supported to achieve goals by their GP and Practice Nurse.",Professor Nicholas Zwar,"Professor Nicholas Zwar, Professor Katharine Wallis, Doctor Breanne Hobden, Professor Christopher Doran, Gideon Meyerowitz-Katz, Doctor Kean-Seng Lim, Doctor Kristy Fakes, Professor Glenden Maberly, Professor Elizabeth Halcomb, Doctor Christopher Oldmeadow",Targeted competitive,1/6/2022,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Primary health care",Health Services Research,1093405,Prior to 03/09/2024
MRF2017098,Primary Health Care Research,2021 Primary Health Care Research,University of New South Wales,University,NSW,Transforming blood pressure control in primary care using the next generation of wearable blood pressure devices: The NEXTGEN-BP randomised trial ,"The proposed NEXTGEN-BP randomised parallel-group, open-label multicentre trial aims to assess the effectiveness of a novel wearable cuffless BP care strategy in adults with hypertension to reduce clinic BP in primary care compared to usual care at 12 months follow-up. Our secondary objectives are to assess this novel strategy’s acceptability to patients and general practitioners; cost-effectiveness; effect on BP medication adherence and tolerability.",Professor Aletta Schutte,"Professor Aletta Schutte, Ms Ruth Freed, Doctor Sonali Gnanenthiran, Belinda Bennett, Doctor Emily Atkins, Associate Professor Gian Luca Di Tanna, Professor David Peiris, Professor Anushka Patel, Doctor Isabella Tan, Associate Professor Charlotte Hespe, Doctor Niamh Chapman, Professor James Sharman, Associate Professor Danijela Gnjidic, Doctor Huei Ming Liu, Professor Markus Schlaich",Targeted competitive,1/6/2022,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Cardiorespiratory medicine and haematology, Cardiology (incl. cardiovascular diseases)",Clinical Medicine and Science Research,1936263.1,Prior to 03/09/2024
MRF2016006,Primary Health Care Research,2021 Primary Health Care Research,Flinders University,University,SA,Equitable access to full blood evaluation testing at the point-of-care in remote primary health,"This project will provide access to the most common blood test performed in Australia to some of the most remote communities, with test results available in 10 minutes compared to 4-7 days. The blood test helps early diagnosis of severe infection, or sepsis, the major focus of this project. More broadly, the project will also measure how this rapid blood test may benefit the general health and access to care for remote populations, particularly Aboriginal and Torres Strait Islander people.",Doctor Brooke Spaeth,"Doctor Brooke Spaeth, Professor Mark Shephard, Doctor Shahid Ullah, Professor Richard Reed, Professor Billie Bonevski, Doctor Tina Noutsos, Doctor Jacqueline Stephens, Rodney Omond, Doctor Annabelle Wilson, Professor Jonathan Karnon, Professor Simon Finfer, Doctor Sean Taylor, Professor James Smith, Doctor Danny Tsai",Targeted competitive,1/6/2022,31/1/2028,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health;
MEDICAL AND HEALTH SCIENCES, Public health and health services, Primary health care",Health Services Research,2996294.25,Prior to 03/09/2024
MRF2017213,Stem Cell Therapies Mission,2021 Stem Cell Therapies,University of Melbourne,University,VIC,Cartilage based stem cell therapies for joint deformity and facial disfigurement. A framework for point-of-care manufacturing and delivery (ARISTOCRAT),"ARISTOCRAT is proposing first of its kind in Australia research that will allow live stem cells to be 3D printed and used as a material for treatments. The aim of this innovative solution not only for repairing cartilage loss which leads towards painful joint deformity but also facial disfigurement from ear and nose absence or loss. This national collaboration will use technology that will revolutionize the way we think about personalized care, patient involvement and scientific advancements.",Professor Peter Choong,"Professor Peter Choong, Doctor Claire Tanner, Professor David Castle, Professor Gordon Wallace, Doctor John Gardner, Professor Jonathan Clark, Professor Nora Shields, Doctor Sharon Sagnella, Professor Simon Moulton, Doctor Samantha Bunzli, Professor Philip Clarke, Doctor Serena Duchi, Doctor Tim Spelman, Associate Professor Payal Mukherjee, Doctor Chris Schilling, Associate Professor Ruta Gupta, Professor Michelle Dowsey, Doctor Cathal O'Connell, Doctor Joseph Dusseldorp, Doctor Johnson Chung, Associate Professor Stephen Beirne, Doctor Sanjeev Gambhir, Emma Rushbrooke, Associate Professor Claudia Di Bella, Doctor Andrew Ronchi",Targeted competitive,1/6/2022,30/9/2027,"TECHNOLOGY, Medical biotechnology, Regenerative medicine (incl. stem cells and tissue engineering)",Clinical Medicine and Science Research,6999671.1,Prior to 03/09/2024
MRF2016136,Stem Cell Therapies Mission,2021 Stem Cell Therapies,Cartherics Pty Ltd,Corporation,VIC, Gene modified pluripotent stem cells to generate and empower innate immune cells against poor-prognosis cancers,Standard treatments often do not stop patients dying of common and widely spread solid cancers. A new kind of cell and gene therapy can Drive individual patients’ immune systems to get rid of widespread blood cancers. But this immunotherapy does not yet work so well for common solid cancers. We aim to beat this problem by creating banks of ‘off-the-shelf’ functionally enhanced killer immune cells to treat many patients and can also engage the patient's own immune system in tumour destruction.,Professor Michael Brown,"Professor Michael Brown, Nicholas Boyd, Doctor Peter Hudson, Professor Alan Trounson, Professor Richard Boyd, Professor Peter Currie, Jennifer Hollands, Associate Professor Mikael Martino, Doctor David Liu, Doctor Ian Nisbet, Associate Professor Nicholas Clemons, Professor Graham Lieschke, Walid Azar, Maureen Howard, Doctor Vera Evtimov ",Targeted competitive,1/6/2022,31/8/2027,"TECHNOLOGY, Medical biotechnology, Regenerative medicine (incl. stem cells and tissue engineering)",Clinical Medicine and Science Research,5376696,Prior to 03/09/2024
MRF2017495,Stem Cell Therapies Mission,2021 Stem Cell Therapies,University of Melbourne,University,VIC,Necessary steps to advance a pluripotent stem cell-derived tissue repair therapy to the clinic for stroke,"Despite great hope for stem cell therapies for stroke, clinical trials to date have largely failed due to a focus on safety at the expense of evidence of preclinical efficacy. We recently showed that human stem cell grafts could restore limb function in a stroke model. This study will now preform a series of iterative, necessary preclinical optimisation, safety and functionality testing of a stem cell product suitable for a Phase I clinical trial in stroke patients.",Professor Clare Parish,"Professor Clare Parish, Doctor Charlotte Ermine, Professor Lachlan Thompson, Professor Clive May",Targeted competitive,1/6/2022,31/1/2027,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Cellular nervous system; 
MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system; 
TECHNOLOGY, Medical biotechnology, Regenerative medicine (incl. stem cells and tissue engineering)",Clinical Medicine and Science Research,2065971,Prior to 03/09/2024
MRF2016039,Stem Cell Therapies Mission,2021 Stem Cell Therapies,University of Sydney,University,NSW,Development of photoreceptor cell therapy to treat blindness,This research lays the foundation of retinal cell therapy for the treatment of blinding eye diseases caused by the degeneration of the light-sensing cells in the eye. A renewable source of human stem cells will be created from which transplantable photoreceptor cells will be produced for regenerative therapy of the retina. This pre-clinical process development enables translational research in stem cell medicine and cell therapy and offers a path to clinical trials of retinal cell therapy.,Doctor Anai Gonzalez Cordero,"Doctor Anai Gonzalez Cordero, Associate Professor Matthew Simunovic, Professor Roger Reddel, Professor John Grigg, Doctor Kate Hetherington, Associate Professor Ngaire Elwood, Professor Patrick Tam, Professor Hala Zreiqat, Professor Robyn Jamieson, Associate Professor Pengyi Yang, Professor Claire Wakefield",Targeted competitive,1/6/2022,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Ophthalmology and optometry, Ophthalmology",Clinical Medicine and Science Research,2566652.72,Prior to 03/09/2024
MRF2015957,Stem Cell Therapies Mission,2021 Stem Cell Therapies,Monash University,University,VIC,Pre-clinical evaluation of selective adenosine A1 receptor positive allosteric modulators for the treatment of Drug-resistant epilepsy,"Current drugs for epilepsy have limited efficacy because of over-reliance on a few animal models of provoked seizures to randomly screen compounds in preclinical development, resulting in many ‘me-too’ drugs that have limited modes of actions. This project will utilise our stem cell derived neural and heart platforms to develop a brand new class of compounds and test them in an animal model of drug-resistant epilepsy. Upon project completion the compounds will be ready for clinical trialling.",Professor Patrick Kwan,"Professor Patrick Kwan, Professor Peter Scammells, Doctor Lauren May, Professor Chris Langmead, Doctor Pablo Casillas Espinosa, Professor Arthur Christopoulos, Doctor Jo-Anne Baltos, Doctor Ana Antonic-Baker, Doctor Karen Gregory, Professor Terence O'Brien, Doctor Sara Howden, Doctor Huseyin Sumer, Doctor Benjamin Rollo, Associate Professor David Elliott, Doctor Anh Thi Ngoc Nguyen",Targeted competitive,1/6/2022,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system",Clinical Medicine and Science Research,3849003.6,Prior to 03/09/2024
MRF2017861,Stem Cell Therapies Mission,2021 Stem Cell Therapies,Griffith University,University,QLD,Drug discovery for schizophrenia using patient-derived stem cells ,"Schizophrenia is a debilitating life-long disease. Annually, it costs the Government about $4M and the community almost $5M. There are few medications for schizophrenia. We will use stem cells from people with schizophrenia to discover new therapies by screening Drugs already approved for use in other diseases. Those that reverse differences we find in the schizophrenia stem cells will yield novel drugs that have the potential to be innovative therapeutics to benefit all Australians.",Doctor Alexandre Cristino,"Doctor Alexandre Cristino, Professor Vicky Avery, Emeritus Professor Alan Mackay-Sim, Professor Michael Berk, Professor Ken Walder",Targeted competitive,1/6/2022,31/5/2026,"BIOLOGICAL SCIENCES, Biochemistry and cell biology, Cellular interactions (incl. adhesion, matrix, cell wall)",Clinical Medicine and Science Research,1425156.5,Prior to 03/09/2024
MRF2017281,Stem Cell Therapies Mission,2021 Stem Cell Therapies,University of Western Australia,University,WA,Eyes and Ears: a human retinal and inner ear organoid platform for pre-clinical screening of novel therapeutics for Usher Syndrome,"Usher syndrome (USH) is a cruel and incurable disease that robs patients of both sight and hearing. In this project, we bring together experts in eye and ear clinical care and research to develop new treatments for USH. Our clinicians will prepare our USH patients for inclusion in upcoming clinical trials. In parallel, our scientists will grow retinal and inner ear tissues from patient stem cells in the lab, and use them to evaluate the promising new USH treatments being developed by our team.",Doctor Samuel McLenachan,"Doctor Samuel McLenachan, Doctor Daniel Brown, Professor Stephen Wilton, Associate Professor Fred Chen, Doctor Yee Man Elaine Wong, Associate Professor Hani Al-Salami, Doctor Livia Carvalho, Professor Marcus Atlas",Targeted competitive,1/6/2022,31/5/2026,"TECHNOLOGY, Medical biotechnology, Gene and molecular therapy; 
MEDICAL AND HEALTH SCIENCES, Ophthalmology and optometry, Ophthalmology; 
MEDICAL AND HEALTH SCIENCES, Clinical sciences, Otorhinolaryngology",Clinical Medicine and Science Research,2215017.62,Prior to 03/09/2024
MRF2015762,Traumatic Brain Injury Mission,2021 Traumatic Brain Injury,Curtin University,University,WA,AUS-mTBI: designing and implementing the health informatics approaches to enhance treatment and care for people with mild TBI,"Mild TBI (or concussion) can lead to continuing symptoms and isn't well managed. The AUS-mTBI national consortium will build online platforms including an App, to facilitate collection of mild TBI data from people across Australia. The team will analyse that data and identify the factors that predict optimal outcomes. The team will then feed this information back into our platforms, to create an accessible, evidence-based resource to guide care and improve outcomes for people with mild TBI.",Professor Melinda Fitzgerald,"Professor Melinda Fitzgerald, Doctor Jonathan Bullen, Professor Karen Barlow, Associate Professor Lyndsey Collins-Praino, Doctor Jesse Young, Doctor Sarah Hellewell, Professor Kirsten Vallmuur, Mr Alexander Ring, Associate Professor Peter Bragge, Associate Professor Grahame Simpson, Associate Professor John Gilroy, Professor Natasha Lannin, Professor Daniel Fatovich, Doctor Michael Makdissi, Professor Patrick Kwan, Professor Christopher Levi, Associate Professor Zongyuan Ge, Professor Gavin Davis, Professor Belinda Gabbe, Professor Paul Parizel, Mr George Charalambous, Professor Franz Babl, Professor Kate Curtis, Professor Karen Caeyenberghs, Ms Jennifer Cullen, Associate Professor Sandy Shultz, Patricia Ratajczak, Professor Vicki Anderson, Associate Professor Delia Henrie, Professor Terence O'Brien, Doctor Fatima Nasrallah, Professor Elizabeth Armstrong, Professor John Olver, Professor Leanne Togher, Nick Rushworth, Professor Jennifer Fleming, Professor Biswadev Mitra, Doctor Gary Mitchell, Doctor Stuart McDonald, Professor Michael Reade, Maayken van den Berg, Professor Jennie Ponsford, Doctor Jenna Ziebell, Gill Cowen, Professor Alison Hutchinson, Associate Professor Andrew Gardner, Professor Tamara Ownsworth, Professor David Menon",Targeted competitive,1/6/2022,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Neurosciences, Central nervous system",Clinical Medicine and Science Research,2999658,Prior to 03/09/2024
MRFMB000005,Emerging Priorities and Consumer Driven Research,2021 Improving the Health and Wellbeing of Aboriginal and Torres Strait Islander Mothers and Babies,Charles Darwin University,University,NT,"Birthing on Country: RISE SAFELY in rural, remote and very remote Australia","This First Nations led, co-designed and staffed MRFF study aims to establish exemplar Birthing on Country maternal child health services in rural, remote and very remote Australia in 5 years. Our CIs have worked side-by-side with First Nations communities and stakeholders, building on 25 years of research, to develop the RISE SAFELY Implementation Framework. We will translate existing knowledge on culturally safe maternity care, that saw unprecedented success in an urban site, into three unique settings. We will increase protective factors for birthing women and babies across the first 1000 days, improve outcomes, focus on preventing preterm birth, and make a profound impact on Closing the Gap Target 2: Children are born healthy and strong.",Professor Yvette Roe,"Professor Yvette Roe, Professor Sue Kildea, Associate Professor Läwurrpa Maypilama, Professor Roianne West, Doctor Sarah Ireland, Associate Professor Yu Gao, Associate Professor Sandy Campbell, Doctor Leisa McCarthy, Professor Sue Kruske, Associate Professor Suzanne Moore",Open competitive,15/6/2022,15/5/2027,Not available,Not available,4998540,Prior to 03/09/2024
MRFMB000051,Emerging Priorities and Consumer Driven Research,2021 Improving the Health and Wellbeing of Aboriginal and Torres Strait Islander Mothers and Babies,Institute for Urban Indigenous Health Ltd,Corporation,QLD,Birthing in Our Community: gold standard Indigenous maternal infant health,"Birthing in Our Community (BiOC) is an Indigenous-led Maternal Infant Health program designed and implemented in Brisbane. BiOC’s outcomes, published in the Lancet Global Health (2021), show a 50% reduction in pre-term births, improvement in healthy weight babies, increased antenatal visits and an increase in exclusively breastfeeding at discharge. We will extend the reach of BiOC to three settings and follow cohorts of families (n=~1800) to assess clinical outcomes and program acceptability. Further, we will evaluate scalability, sustainability, feasibility and cost effectiveness of this ‘gold standard’ program. Our goal is to build the evidence base to support adaptation and implementation of BiOC programs in urban Indigenous communities.",Mr Adrian Carson,"Mr Adrian Carson, Professor James Ward, Mrs Machellee Kosiak, Doctor Carmel Nelson, Associate Professor Federica Barzi, Associate Professor Steve Bell, Ms Kristie Watego, Ms Birri O'Dea, Professor Luke Connolly, Mr Alfred Davis, Doctor Jonathan Leitch, Ms Liz Wilkes",Open competitive,30/6/2022,29/6/2027,Not available,Not available,4999156,Prior to 03/09/2024
MRFMB000010,Emerging Priorities and Consumer Driven Research,2021 Improving the Health and Wellbeing of Aboriginal and Torres Strait Islander Mothers and Babies,University of Melbourne,University,VIC,Replanting the Birthing Trees to Support First Nations Parents and Babies,"This First Nations-led project aims to transform intergenerational cycles of trauma to support parents in achieving their hopes and dreams for a happy, safe and healthy family. We will do this by building infrastructure for culturally-safe, trauma-integrated, holistic, transdisciplinary perinatal care, critical in the first 2000 days. Based on rigorous co-design, this innovative program includes: a resource repository for parents, clinicians and decision-makers; support framework; integrated culturally-validated assessment tool; workforce development resources; culturally and emotionally safe continuity-of-care implementation toolkit; and a therapeutic model to support families with complex social and emotional needs to stay together.",Professor Catherine Chamberlain,"Professor Catherine Chamberlain, Professor Rhonda Marriott, Professor Marcia Langton, Associate Professor Paul Gray, Doctor Caroline Atkinson, Ms Jacynta Krakouer, Doctor Kootsy Canuto, Professor Helen Herrman, Professor Sally Kendall, Professor Helen McLachlan, Professor Leonie Segal, Professor	Susan Walker, Professor Helen Skouteris, Professor Della Forster, Professor Jane Fisher, Emeritus Professor Judy Atkinson, Associate Professor Tracy Reibel, Ms Jayne Kotz, Ms Valerie Ah Chee, Associate Professor Roz Walker, Doctor Anne-Marie Eades, Doctor Debra Singh, Doctor Janine Mohamed, Associate Professor Campbell Paul, Ms Shawana Andrews, Mrs Debra Bowman, Doctor Elise Davis, Doctor Kimberley Jones, Doctor Renee Fiolet, Doctor Ilias Kamitsis, Doctor Tess Bright, Doctor Kristen Smith, Doctor Vanessa Russ, Ms Pamela McCalman, Miss Gina Bundle, Mrs Alison Elliott, Professor Naomi Priest, Doctor Julie Andrews, Ms Skye Stewart, Ms Abigail Dent, Ms Leah Johnston, Miss Tyarne-Paige Davis-Martin, Doctor Dave Carmody, Ms Adrienne Lipscomb, Mr Oliver Tye, Ms Kate Reynolds, Mrs Philippa Reppington, Ms Janinne Gliddon",Open competitive,30/6/2022,29/6/2026,Not available,Not available,4999905,Prior to 03/09/2024
MRFMB000045,Emerging Priorities and Consumer Driven Research,2021 Improving the Health and Wellbeing of Aboriginal and Torres Strait Islander Mothers and Babies,University of Western Australia (Kimberley Aboriginal Medical Services Limited),University,WA,Optimisation of screening and management of hyperglycaemia in pregnancy,"High blood glucose in pregnancy increases babies’ risk of being born premature, by caesarean, larger/smaller than optimum, with low blood glucose levels, and difficulty breathing. This project will implement, evaluate and refine alternative screening for detecting high blood glucose in pregnancy at regional, state and national levels. We will use three-way learning between Aboriginal community members, health providers and researchers to co-design and trial self-management strategies for high blood glucose in pregnancy. This project will empower Aboriginal women and their families to make positive lifestyle choices aimed at improving birth outcomes and health for subsequent pregnancies and prevent or delay progression to chronic disease.",Mr Wayne Beddall,"Mr Wayne Beddall, Ms Glenys Gillespie, Ms Kylie Hopkins, Ms Kathryn Johnstone, Mr John Joseph, Ms Conchita Boyder, Mr Ian Pratt, Professor David Atikinson, Ms	 Emma Carlin, Doctor Andrew Kirke, Doctor Emma Griffiths",Open competitive,30/6/2022,29/6/2027,Not available,Not available,3236071,Prior to 03/09/2024
MRFFRD000049,Research Data Infrastructure,2021 Research Data Infrastructure,Monash University,University,VIC,National Transfusion Research Data Infrastructure Initiative,"Blood transfusions, used wisely, save lives, but carry risks & costs – Australia spends $1.3 billion annually on blood products. It is essential that we know how to use them appropriately. However, Australia lacks infrastructure to provide fundamental data on how blood is used (who needs it, when, where, how much, & why); outcomes for transfused patients, including adverse events (‘haemovigilance’); and costs to our health system. The National Transfusion Research Data Infrastructure Initiative will use novel approaches and methods to link data from our national blood service with pre-hospital, hospital, haemovigilance & clinical registry data, and generate a new national transfusion dataset as a resource for policy, practice & research.",Professor Erica Wood,"Professor Erica Wood, Associate Professor Zoe McQuilten, Professor Carol Hodgson, Doctor Lisa Higgins, Doctor Shelley Cox, Doctor James Daly, Professor David Roxby, Doctor Adam Irving, Doctor Susan Morgan, Mr Simon Benson, Mr Christopher Berry, Ms Linley Bielby, Doctor Karina Brady, Doctor Fiona Chen, Doctor Kim Huynh, Mr Neil Waters, Doctor Cameron Wellard, Mrs Shannah Anderson",Open competitive,30/6/2022,30/5/2026,Not available,Not available,2999557,Prior to 03/09/2024
MRFFRD000065,Research Data Infrastructure,2021 Research Data Infrastructure,University of New South Wales,University,NSW,EndoLinked: Identifying fertility outcomes for women with endometriosis,"EndoLinked will determine: The reproductive and maternal outcomes for women with, compared to without endometriosis for infertility treatments in Australia; the neonatal outcomes for infants born to women with endometriosis; the impact of no versus single versus multiple surgeries for endometriosis prior to undertaking fertility treatments. These questions will provide evidence for clinical care and counselling for women with endometriosis and inform the RANZCOG Endometriosis Clinical Practice Guidelines. EndoLinked will address identified evidence-gaps in the National Action Plan for Endometriosis (NAPE) in these areas.",Professor Jason Abbott,"Professor Jason Abbott, Professor Gita Mishra, Associate Professor Amanda Henry, Doctor Ingrid Rowlands, Doctor Cecilia Ng",Open competitive,30/6/2022,30/5/2026,Not available,Not available,689236,Prior to 03/09/2024
MRFFRD000154,Research Data Infrastructure,2021 Research Data Infrastructure,University of New South Wales,University,NSW,"Next-gen clinical registries: common data models, AI & cloud computing","We will create and deploy a software framework (NextCR, comprising software code, documentation, training materials) that organisations can use to establish and operate highly secure, cloud-based next-generation clinical registries. It will address new national requirements for clinical quality registries in domains including orthopaedics, cardiovascular disease and cancer. It will use advanced software engineering and AI methods to transform near real-time data drawn directly from electronic medical records (EMRs) and other electronic data, including imaging. NextCR registries will provide highly-detailed, research-ready clinical data, leveraging international Common Data Models and terminologies to maximise data interoperability.",Professor Louisa Jorm,"Professor Louisa Jorm, Professor Stephen Graves, Professor Richard de Steiger, Professor Ian Harris, Associate Professor Sze-Yuan Ooi, Doctor Jennifer Yu, Associate Professor Blanca Gallego Luxan, Professor Geoff Delaney, Associate Professor Winston Liauw, Doctor Timothy Churches, Doctor Georgina Kennedy, Doctor Sebastiano Barbieri, Doctor Oscar Perez Concha, Professor Jean-Frederic Levesque",Open competitive,30/6/2022,7/5/2027,Not available,Not available,2645724,Prior to 03/09/2024
MRFFRD000177,Research Data Infrastructure,2021 Research Data Infrastructure,The University of Queensland,University,QLD,Digital Infrastructure For improving First Nations Maternal & Child Health,"The DIFFERENCE project will deliver the largest connected First Nations data infrastructure to ensure the best possible start to life for First Nations Australians. Building on strong partnerships prioritizing First Nations data sovereignty and governance, it will develop a data linkage platform with a nationally agreed health data set for First Nations child and maternal health outcomes, and interoperability standards—all with one aim—to support closing the gap in maternal and perinatal health disparities between First Nations and non-First Nations mums and infants. This project will also generate sophisticated Machine Learning analytics to foster iterative quality improvement and will adopt international standards to support scalability.",Associate Professor Clair Sullivan,"Associate Professor Clair Sullivan, Associate Professor Jason Ferris, Doctor Natasha Reid, Professor Sailesh Kumar, Doctor Dominique Gorse, Professor Steven McPhail, Doctor Michael Lawley, Doctor Paul Schwenn, Professor James Ward, Associate Professor Guido Zuccon, Associate Professor Carmel Nelson, Doctor Lyle Turner, Ms Jayne Barclay, Ms Kristie Watego",Open competitive,30/6/2022,31/12/2026,Not available,Not available,2999587,Prior to 03/09/2024
MRFFRD000113,Research Data Infrastructure,2021 Research Data Infrastructure,University of Melbourne,University,VIC,Appropriate Antimicrobial Use: Scaling Surveillance Using Digital Health,"Antimicrobial resistance is a major global challenge. This research collaboration brings a multidisciplinary team of antimicrobial stewardship experts from human and animal health with digital health experts to establish a new research platform for antimicrobial appropriateness surveillance. We will use large existing databases of manual surveys and electronic medical records. Natural language processing, machine learning algorithms, and common data models for antimicrobial use metrics and infection indications will be developed to support automation and scaling of antimicrobial prescribing surveys. The platform will facilitate data aggregation and linkage for the first time across all areas of health, and will improve healthcare delivery.",Professor Karen Thursky,"Professor Karen Thursky, Doctor Rodney James, Pramode Varghese, Doctor Steve Christov, Doctor Courtney Lerano, Associate Professor Noleen Bennett, Associate Professor Leon Worth, Associate Professor Jo-Anne Manski-Nankervis, Professor Kirsty Buising, Doctor Ruby Biezen, Professor Glenn Browning, Professor James Gilkerson, Doctor Kirsten Bailey, Doctor Laura Hardefeldt, Professor Wendy Chapman, Doctor Daniel Capurro, Doctor Mike Conway, Doctor Douglas Pires, Doctor Vlada Rozova, Professor Monica Slavin, Ms Anna Khanina, Karin Verspoor",Open competitive,30/6/2022,31/5/2026,Not available,Not available,2962654,Prior to 03/09/2024
MRF2019448,Australian Brain Cancer Mission,2021 Brain Cancer Research,The Walter and Eliza Hall Institute of Medical Research,Medical Research Institute,VIC,“GLIMMER” - Glioma Liquid biopsy and Multiomic-Monitoring Enabled Research platform,"Glioblastoma (GBM) is an aggressive brain cancer with a dismal 5-year survival rate of 5%. Our collaborative research program GLIMMER (Glioma Liquid biopsy and Multi-omic Monitoring Enabled Research platform) will address the lack of effective treatment options with a pipeline of early to late translational science. The impact of this program will improve survival outcomes, quality of life and avoid unnecessary health burdens for this devastating disease.",Doctor James Whittle,"Doctor James Whittle, Associate Professor Misty Jenkins, Doctor Saskia Freytag, Doctor Sarah Best, Associate Professor Andrew Morokoff, Doctor David Goode, Doctor Stephen Wong, Professor Sean Grimmond, Professor Stephen Fox, Professor Sarah-Jane Dawson, Doctor Lucy Gately, Professor Katharine Drummond, Professor David Eisenstat, Associate Professor Lucy Palmer",Targeted competitive,1/11/2022,31/12/2028,"BIOLOGICAL SCIENCES, Genetics, Genomics;
MEDICAL AND HEALTH SCIENCES, Immunology, Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies);
MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Molecular targets",Clinical Medicine and Science Research,4550471.3,Prior to 03/09/2024
MRF2021078,Australian Brain Cancer Mission,2021 Brain Cancer Research,University of New South Wales,University,NSW,A new targeted combination therapy with matched biomarker to treat intractable glioblastoma,"Glioblastoma (GBM) is the most aggressive and fatal of all brain cancers. GBM tumours contain aggressive cells that are able to hide from therapies. These cells express androgen (male hormone) receptors, which provides a new way to target them. Using a unique model of growing patient tumours in the lab, and mice, this study will define whether anti-androgen drugs improve the effect of standard-of-care therapies. This will enable rapid results leading to clinical trials to improve GBM outcomes.",Professor Jeffrey Holst,"Professor Jeffrey Holst, Associate Professor Christine Chaffer, Associate Professor Elizabeth Hovey, Associate Professor Eng-Siew Koh, Doctor Sylvia Chung, Doctor Beatriz Perez San Juan, Doctor Rajesh Reddy, Doctor Michael Rodriguez, Doctor Kanu Wahi, Associate Professor Luke Selth, Doctor Rebecca Ormsby, Doctor Grant Buchanan, Doctor Benjamin Quah",Targeted competitive,1/11/2022,31/3/2026,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Molecular targets",Basic Science Research,582686.4,Prior to 03/09/2024
